"en","key","enAbbrev","Spanish","write-in","esAbbrev","es","✓","Portuguese","write-in","ptAbbrev","pt","✓","French","write-in","frAbbrev","fr","✓","Hebrew","write-in","heAbbrev","he","✓","Arabic","write-in","arAbbrev","ar","✓","Hindi","write-in","hiAbbrev","hi","✓","Bengali","write-in","bnAbbrev","bn","✓","Oriya","write-in","orAbbrev","or","✓","as","asAbbrev","✓","Indonesian","write-in","idAbbrev","id","✓","Russian","write-in","ruAbbrev","ru","✓","Mandarin Chinese (simplified)","write-in","zhAbbrev","zh","✓","Hausa","write-in","haAbbrev","ha","✓","Swahili","write-in","swAbbrev","sw","✓","Amharic","write-in","amAbbrev","am","✓","Thai","write-in","thAbbrev","th","✓","Malay","write-in","msAbbrev","ms","✓","Filipino","write-in","filAbbrev","fil","✓","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"imperative/command marker","imp","imp","imperativo / marcador de comandos","imperativo","imp","imperativo","TRUE","imperativo / marcador comando","Imperativo/marca de comando","","Imperativo/marca de comando","TRUE","impératif / marqueur de commande","marqueur impératif","imper.","marqueur impératif","TRUE","חובה / הפקודה סמן","ציווי","","ציווי","TRUE","حتمية الأمر / علامة","أداة الأمر","","أداة الأمر","FALSE","जरूरी / आदेश मार्कर","आज्ञार्थक / समादेश चिह्न","","आज्ञार्थक / समादेश चिह्न","TRUE","অনুজ্ঞাসূচক / কমান্ড মার্কার","অনুজ্ঞা","অনু.","অনুজ্ঞা","TRUE","imperative / ନିର୍ଦ୍ଦେଶ ଚିହ୍ନଟକ","","","imperative / ନିର୍ଦ୍ଦେଶ ଚିହ୍ନଟକ","FALSE","","","FALSE","penting / perintah penanda","pemarkah imperatif","","pemarkah imperatif","TRUE","императив команда маркер /","императивный/повелительный маркер","","императивный/повелительный маркер","TRUE","势在必行/命令标记","","","势在必行/命令标记","FALSE","wajibi / umurnin alama","","","wajibi / umurnin alama","FALSE","muhimu / amri marker","Agizi/Kibainishi cha amri","ag/kb.am","Agizi/Kibainishi cha amri","TRUE","ተተኳሪ / ትእዛዝ ምልክት ማድረጊያ","ትዕዛዝ አመልካች","","ትዕዛዝ አመልካች","TRUE","เครื่องหมายคำสั่ง / คำสั่ง","","","เครื่องหมายคำสั่ง / คำสั่ง","FALSE","penanda penting / perintah","penanda perintah","","penanda perintah","TRUE","Imperative / command marker.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"prefix","pref","pref","prefijo","prefijo","pref","prefijo","TRUE","prefixo","prefixo","","prefixo","TRUE","préfixe","préfixe","préf.","préfixe","TRUE","קידומת","תחילית","","תחילית","TRUE","اختصار","بادئة","","بادئة","FALSE","उपसर्ग","उपसर्ग","","उपसर्ग","TRUE","উপসর্গ","উপসর্গ","উপ.","উপসর্গ","TRUE","ଉପସର୍ଗ","","","ଉପସର୍ଗ","FALSE","","","FALSE","awalan","prefiks","","prefiks","TRUE","префикс","","","префикс","TRUE","字首","","","字首","FALSE","prefix","","","prefix","FALSE","kiambishi awali","Kiambishiawali","kaw","Kiambishiawali","TRUE","ባዕድ መነሻ","ባዕድ መነሻ","","ባዕድ መነሻ","TRUE","คำนำหน้า","","","คำนำหน้า","FALSE","awalan","awalan","","awalan","TRUE","prefix","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"punctuation","punc","punc","puntuación","ortografía","ort","ortografía","TRUE","pontuação","pontuação","","pontuação","TRUE","ponctuation","ponctuation","ponc.","ponctuation","TRUE","פיסוק","","","פיסוק","TRUE","علامات ترقيم","علامات الترقيم","","علامات الترقيم","FALSE","विराम चिह्न","विराम चिह्न","","विराम चिह्न","TRUE","যতিচিহ্নসিন্নিবেশ","যতিচিহ্ন","যতি.","যতিচিহ্ন","TRUE","ଚିହ୍ନ ପ୍ରକରଣ","","","ଚିହ୍ନ ପ୍ରକରଣ","FALSE","","","FALSE","tanda baca","tanda baca","","tanda baca","TRUE","пунктуация","","","пунктуация","TRUE","标点","","","标点","FALSE","alamar rubutu","","","alamar rubutu","FALSE","uandishi","Uwekaji vituo","uw.vt","Uwekaji vituo","TRUE","ሥርዓተ ነጥብ","ሥርዓተ ነጥብ","","ሥርዓተ ነጥብ","TRUE","เครื่องหมายวรรคตอน","","","เครื่องหมายวรรคตอน","FALSE","tanda baca","tanda baca","","tanda baca","TRUE","bantas","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"suffix","suff","suff","sufijo","sufijo","suf","sufijo","TRUE","sufixo","sufixo","","sufixo","TRUE","suffixe","suffixe","suff.","suffixe","TRUE","סִיוֹמֶת","סופית","","סופית","TRUE","لاحقة","لاحقة","","لاحقة","FALSE","प्रत्यय","प्रत्यय","","प्रत्यय","TRUE","প্রত্যয়","প্রত্যয়","প্র.","প্রত্যয়","TRUE","ପରପଦ","","","ପରପଦ","FALSE","","","FALSE","akhiran","sufiks","","sufiks","TRUE","суффикс","","","суффикс","TRUE","后缀","","","后缀","FALSE","kari na baya baki","","","kari na baya baki","FALSE","suffix","Kiambishi tamati","ka.tm","Kiambishi tamati","TRUE","ቅጥያ","ባዕድ መድረሻ","","ባዕድ መድረሻ","TRUE","คำต่อท้าย","","","คำต่อท้าย","FALSE","akhiran","akhiran","","akhiran","TRUE","suffix.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"transitive verb","vt","vt","verbo transitivo","verbo transitivo","vt","verbo transitivo","TRUE","verbo transitivo","verbo transitivo","","verbo transitivo","TRUE","Verbe transitif","verbe transitif","v. tr.","verbe transitif","TRUE","יוֹצֵא הפועל","פועל יוצא (טרנזיטיבי)","","פועל יוצא (טרנזיטיבי)","TRUE","فعل متعد","فعل متعدٍ","","فعل متعدٍ","FALSE","सकर्मक क्रिया","सकर्मक क्रिया","","सकर्मक क्रिया","TRUE","সকর্মক ক্রিয়া","সকর্মক ক্রিয়া","সক.ক্রি.","সকর্মক ক্রিয়া","TRUE","ଟ୍ରାଞ୍ଜିଟିଭ୍ କ୍ରିୟାପଦ","","","ଟ୍ରାଞ୍ଜିଟିଭ୍ କ୍ରିୟାପଦ","FALSE","","","FALSE","kata kerja transitif","verba transitif","","verba transitif","TRUE","переходный глагол","","","переходный глагол","TRUE","及物动词","","","及物动词","FALSE","tsallakawa fi'ili","","","tsallakawa fi'ili","FALSE","elekezi kitenzi","Kitenzi elekezi","kt.el","Kitenzi elekezi","TRUE","ተሻጋሪ ግስ","ተሻጋሪ ግስ","","ተሻጋሪ ግስ","TRUE","สกรรมกริยา","","","สกรรมกริยา","FALSE","kata kerja transitif","kata kerja transitif","","kata kerja transitif","TRUE","palipat na pandiwa","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"intransitive verb","vi","vi","verbo intransitivo","verbo intransitivo","vi","verbo intransitivo","TRUE","verbo intransitivo","verbo intransitivo","","verbo intransitivo","TRUE","verbe intransitif","verbe intransitif","v. intr.","verbe intransitif","TRUE","פּוֹעַל עוֹמֵד","פועל עומד (אינטרנזיטיבי)","","פועל עומד (אינטרנזיטיבי)","TRUE","فعل لازم","فعل لازم","","فعل لازم","FALSE","अकर्मक क्रिया","अकर्मक क्रिया","","अकर्मक क्रिया","TRUE","অকর্মক ক্রিয়া","অকর্মক ক্রিয়া","অক.ক্রি.","অকর্মক ক্রিয়া","TRUE","ଇଟ୍ରାଞ୍ଜିଟିଭ୍ କ୍ରିୟାପଦ","","","ଇଟ୍ରାଞ୍ଜିଟିଭ୍ କ୍ରିୟାପଦ","FALSE","","","FALSE","kata kerja intransitif","verba intransitif","","verba intransitif","TRUE","непереходный глагол","","","непереходный глагол","TRUE","不及物动词","","","不及物动词","FALSE","mara tsallakawa fi'ili","","","mara tsallakawa fi'ili","FALSE","intransitive kitenzi","Kitenzi kisoelekeza","kt.kel","Kitenzi kisoelekeza","TRUE","ኢተሻጋሪ ግስ","የማይሻገር ግሥ","","የማይሻገር ግሥ","TRUE","กริยาอกรรมกริยา","","","กริยาอกรรมกริยา","FALSE","kata kerja intransitif","kata kerja tak transitif","","kata kerja tak transitif","TRUE","Katawan na pandiwa","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"complement(izer)","comp","comp","del complemento (izante)","complement(ador)","com","complement(ador)","TRUE","complemento (izer)","complemento/ador","","complemento/ador","TRUE","complément (izer)","complément","compl. ","complément","TRUE","שלמה (izer)","משלים","","משלים","TRUE","تكملة (izer)","تتمّة","","تتمّة","FALSE","पूरक (izer)","पूरणकारी","","पूरणकारी","TRUE","সম্পূরক (izer)","পূরক/ পূরকায়ক","পূ.","পূরক/ পূরকায়ক","TRUE","ପରିପୂରକ (izer)","","","ପରିପୂରକ (izer)","FALSE","","","FALSE","komplemen (Izer)","pelengkap","","pelengkap","TRUE","дополнение (Izer)","комплемент(айзер)","","комплемент(айзер)","TRUE","补（IZER）","","","补（IZER）","FALSE","dace da (izer)","","","dace da (izer)","FALSE","inayosaidia (izer)","Kijalizo","kj","Kijalizo","TRUE","ማሟያ (የማዳበሪያ)","ሞይ","","ሞይ","TRUE","เสริม (izer)","","","เสริม (izer)","FALSE","pelengkap (izer)","pelengkap","","pelengkap","TRUE","umakma (izer)","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"compound","cpd","cpd","compuesto","compuesto","comp","compuesto","TRUE","composto","composto","","composto","TRUE","composé","composé","comp.","composé","TRUE","מתחם","הרכב","","הרכב","TRUE","مركب","مُرَكَّب","","مُرَكَّب","FALSE","यौगिक","समास / यौगिक","","समास / यौगिक","TRUE","যৌগিক","যৌগিক","যৌ.","যৌগিক","TRUE","Compound","","","Compound","FALSE","","","FALSE","senyawa","majemuk","","majemuk","TRUE","соединение","составной","","составной","TRUE","复合","","","复合","FALSE","fili","","","fili","FALSE","kiwanja","Mwambatano","mw","Mwambatano","TRUE","ውሁድ","ጥምር","","ጥምር","TRUE","สารประกอบ","","","สารประกอบ","FALSE","sebatian","majmuk","","majmuk","TRUE","tambalan","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"participle","pple","pple","participio","participio","ppio","participio","TRUE","particípio","particípio","","particípio","TRUE","participe","participe","p. ","participe","TRUE","פעול","בינוני פועל","","בינוני פועל","FALSE","إسم الفاعل","كلمة لها وظيفة قواعدية، ولا تُصنّف من أقسام الكلام ","","كلمة لها وظيفة قواعدية، ولا تُصنّف من أقسام الكلام ","FALSE","कृदंत","कृदंत विशेषण","","कृदंत विशेषण","TRUE","পার্টিসিপেল","কৃদন্ত পদ","কৃদ.","কৃদন্ত পদ","TRUE","participle","","","participle","FALSE","","","FALSE","partisip","partisipel","","partisipel","TRUE","причастие","","","причастие","TRUE","分词","","","分词","FALSE","participle","","","participle","FALSE","Mmoja","Kitenzivumishi","kt.vm","Kitenzivumishi","TRUE","ቦዝ","ግሳዊ ቅጽል","","ግሳዊ ቅጽል","TRUE","กริยา","","","กริยา","FALSE","participle.","partisipel","","partisipel","TRUE","pandinig","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"sentence","sent","sent","frase","oración","o","oración","TRUE","sentença","frase","","frase","TRUE","phrase","phrase","phr.","phrase","TRUE","משפט","","","משפט","TRUE","جملة او حكم على","جملة","","جملة","FALSE","वाक्य","वाक्य","","वाक्य","TRUE","বাক্য","বাক্য","বা.","বাক্য","TRUE","ବାକ୍ୟ","","","ବାକ୍ୟ","FALSE","","","FALSE","kalimat","kalimat","","kalimat","TRUE","приговор","предложение","","предложение","TRUE","句子","","","句子","FALSE","jumla","","","jumla","FALSE","hukumu","Sentensi","s","Sentensi","TRUE","አረፍተ ነገር","አረፍተ ነገር","","አረፍተ ነገር","TRUE","ประโยค","","","ประโยค","FALSE","ayat","ayat","","ayat","TRUE","pangungusap","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"proper noun","pr.n","pr.n","nombre propio","nombre proprio","nom.pr","nombre proprio","TRUE","nome próprio","nome próprio","","nome próprio","TRUE","nom propre","nom propre","n. propre","nom propre","TRUE","שם עצם נכון","שם עצם פרטי","","שם עצם פרטי","TRUE","الاسم الصحيح","اسم علم","","اسم علم","FALSE","संज्ञा विशेष","व्यक्तिवाचक संज्ञा","","व्यक्तिवाचक संज्ञा","TRUE","বিশেষ্য","নামবাচক বিশেষ্য","নাম বি.","নামবাচক বিশেষ্য","TRUE","ଉପଯୁକ୍ତ ବିଶେଷ୍ୟ","","","ଉପଯୁକ୍ତ ବିଶେଷ୍ୟ","FALSE","","","FALSE","kata benda nama diri","nomina nama diri","","nomina nama diri","TRUE","имя собственное","","","имя собственное","TRUE","专有名词","","","专有名词","FALSE","dace suna","","","dace suna","FALSE","sahihi nomino","Nomino pekee","nm.pk","Nomino pekee","TRUE","ተገቢ ስም","የተጸውዖ  ስም","","የተጸውዖ  ስም","TRUE","คำนามที่เหมาะสม","","","คำนามที่เหมาะสม","FALSE","kata nama yang betul","kata nama khas","","kata nama khas","TRUE","Wastong pangngalan","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"noun phrase","np","np","sintagma nominal","frase nominal","fr.n","frase nominal","TRUE","sintagma nominal","sintagma nominal","","sintagma nominal","TRUE","phrase nominale","groupe nominal","gr. nom.","groupe nominal","TRUE","צירוף שמני","","","צירוף שמני","TRUE","إسم العبارة","فقرة اسمية","","فقرة اسمية","FALSE","संज्ञा वाक्यांश","संज्ञा पदबंध","","संज्ञा पदबंध","TRUE","বিশেষ্য ফ্রেজ","বিশেষ্য বাক্যাংশ","বি.বাশ.","বিশেষ্য বাক্যাংশ","TRUE","ବିଶେଷ୍ୟ ଖଣ୍ଡବାକ୍ୟ","","","ବିଶେଷ୍ୟ ଖଣ୍ଡବାକ୍ୟ","FALSE","","","FALSE","frase nomina","frasa nomina","","frasa nomina","TRUE","словосочетание","именная группа","","именная группа","TRUE","名词短语","","","名词短语","FALSE","suna magana","","","suna magana","FALSE","nomino maneno","Kirai nomino","kr.nm","Kirai nomino","TRUE","ስም ሐረግ","ስማዊ ሐረግ","","ስማዊ ሐረግ","TRUE","วลีคำนาม","","","วลีคำนาม","FALSE","kata benda frasa","frasa nama","","frasa nama","TRUE","Pangngalan:","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"verb phrase","vp","vp","frase verbal","frase verbal","fr.v","frase verbal","TRUE","frase verbal","sintagma verbal","","sintagma verbal","TRUE","phrase verbe","phrase verbale","gr. v. ","phrase verbale","TRUE","ביטוי הפועל","צירוף פועלי","","צירוף פועלי","TRUE","جملة فعلية","فقرة فعلية","","فقرة فعلية","FALSE","क्रिया वाक्यांश","क्रिया पदबंध","","क्रिया पदबंध","TRUE","ক্রিয়া ফ্রেজ","ক্রিয়া বাক্যাংশ","ক্রি.বাশ.","ক্রিয়া বাক্যাংশ","TRUE","କ୍ରିୟାପଦ ଖଣ୍ଡବାକ୍ୟ","","","କ୍ରିୟାପଦ ଖଣ୍ଡବାକ୍ୟ","FALSE","","","FALSE","frasa verba","frasa verba","","frasa verba","TRUE","фразовый глагол","глагольная группа","","глагольная группа","TRUE","动词词组","","","动词词组","FALSE","fi'ili magana","","","fi'ili magana","FALSE","kitenzi maneno","Kirai kitenzi","kr.kt","Kirai kitenzi","TRUE","ግሥ ሐረግ","ግሣዊ ሐረግ","","ግሣዊ ሐረግ","TRUE","กริยาวลี","","","กริยาวลี","FALSE","Frasa kata kerja","frasa kerja","","frasa kerja","TRUE","Pandiwa:","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"adjective phrase","ap","ap","sintagma adjetivo","frase adjetival","fr.adj","frase adjetival","TRUE","frase adjetivo","sintagma adjectival","","sintagma adjectival","TRUE","phrase adjectif","phrase adjective","phr. adj.","phrase adjective","TRUE","ביטוי תואר","צירוף תוארי","","צירוף תוארי","TRUE","عبارة نعت","فقرة وصفية","","فقرة وصفية","FALSE","विशेषण वाक्यांश","विशेषण पदबंध","","विशेषण पदबंध","TRUE","বিশেষণ ফ্রেজ","বিশেষণ বাক্যাংশ","বিণ.বাশ.","বিশেষণ বাক্যাংশ","TRUE","ବିଶେଷଣ ଖଣ୍ଡବାକ୍ୟ","","","ବିଶେଷଣ ଖଣ୍ଡବାକ୍ୟ","FALSE","","","FALSE","frase kata sifat","frasa adjektiva","","frasa adjektiva","TRUE","прилагательное фраза","группа прилагательного","","группа прилагательного","TRUE","形容词短语","","","形容词短语","FALSE","siffa magana","","","siffa magana","FALSE","kivumishi maneno","Kirai kivumishi","kr.kv","Kirai kivumishi","TRUE","ቅፅል ሐረግ","ቅጽላዊ ሐረግ","","ቅጽላዊ ሐረግ","TRUE","วลีคำคุณศัพท์","","","วลีคำคุณศัพท์","FALSE","ungkapan kata sifat","frasa adjektif","","frasa adjektif","TRUE","Pangngalan:","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"adverb phrase","adv.p","adv.p","frase adverbio","frase adverbial","fr.adv","frase adverbial","TRUE","frase advérbio","sintagma adverbial","","sintagma adverbial","TRUE","expression adverbiale","phrase adverbiale","phr. adv.","phrase adverbiale","TRUE","ביטוי תואר פועל","צירוף שם-תוארי","","צירוף שם-תוארי","TRUE","عبارة ظرف","فقرة ظرفية","","فقرة ظرفية","FALSE","क्रिया विशेषण वाक्यांश","क्रिया विशेषण पदबंध","","क्रिया विशेषण पदबंध","TRUE","ক্রিয়া বিশেষণ ফ্রেজ","ক্রিয়া-বিশেষণ বাক্যাংশ","ক্রি.বিণ.বাশ.","ক্রিয়া-বিশেষণ বাক্যাংশ","TRUE","ଉପକ୍ରିୟା ଖଣ୍ଡବାକ୍ୟ","","","ଉପକ୍ରିୟା ଖଣ୍ଡବାକ୍ୟ","FALSE","","","FALSE","frase adverbia","frasa adverbia","","frasa adverbia","TRUE","наречие фраза","группа наречия","","группа наречия","TRUE","副词短语","","","副词短语","FALSE","yar bab magana","","","yar bab magana","FALSE","kielezi maneno","Kirai kielezi","kr.kl","Kirai kielezi","TRUE","ተውሳከ ሐረግ","ተውሳከግሣዊ ሐረግ","","ተውሳከግሣዊ ሐረግ","TRUE","วลีคำวิเศษณ์","","","วลีคำวิเศษณ์","FALSE","Ungkapan frasa","frasa adverba","","frasa adverba","TRUE","adverb ph parirala","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"question marker","q","q","marcador pregunta","marca de pregunta","preg","marca de pregunta","TRUE","marcador questão","marcador de pergunta","","marcador de pergunta","TRUE","marqueur question","marqueur d'interrogation","interr.","marqueur d'interrogation","TRUE","סמן שאלה","","","סמן שאלה","FALSE","علامة السؤال","علامة استفهام","","علامة استفهام","FALSE","सवाल मार्कर","प्रश्न चिन्ह","","प्रश्न चिन्ह","TRUE","প্রশ্ন মার্কার","প্রশ্নবাচক চিহ্ন","প্রশ্ন চি.","প্রশ্নবাচক চিহ্ন","TRUE","ପ୍ରଶ୍ନ ଚିହ୍ନଟକ","","","ପ୍ରଶ୍ନ ଚିହ୍ନଟକ","FALSE","","","FALSE","pertanyaan penanda","pemarkah pertanyaan","","pemarkah pertanyaan","TRUE","вопрос маркер","вопросительный маркер","","вопросительный маркер","TRUE","问题标记","","","问题标记","FALSE","tambayar alama","","","tambayar alama","FALSE","swali alama","Kiulizi","ku","Kiulizi","TRUE","ጥያቄ ምልክት ማድረጊያ","ጥያቄ ምልክት ማድረጊያ","","ጥያቄ ምልክት ማድረጊያ","TRUE","เครื่องหมายคำถาม","","","เครื่องหมายคำถาม","FALSE","penanda soalan","penanda pertanyaan","","penanda pertanyaan","TRUE","Marker ng Tanong","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"gerund","ger","ger","gerundio","gerundio","ger","gerundio","TRUE","gerúndio","gerúndio","","gerúndio","TRUE","gérondif","gérondif","gér.","gérondif","TRUE","שֵׁם פְּעוּלָה","שם פעולה","","שם פעולה","TRUE","صيغة الفعل","المصدر","","المصدر","FALSE","क्रियावाचक संज्ञा","क्रियार्थक संज्ञा","","क्रियार्थक संज्ञा","TRUE","ক্রিয়াবাচক বিশেষ্যপদ","ক্রিয়াবাচক বিশেষ্য.","ক্রি.বি.","ক্রিয়াবাচক বিশেষ্য.","TRUE","gerund","","","gerund","FALSE","","","FALSE","gerund","gerund","","gerund","TRUE","герундий","","","герундий","TRUE","动名词","","","动名词","FALSE","gerund","","","gerund","FALSE","gerund","Kitenzi nomino","kt.nm","Kitenzi nomino","TRUE","gerund","ቦዝ አንቀጽ","","ቦዝ አንቀጽ","TRUE","เกอรุนด์","","","เกอรุนด์","FALSE","Gerund.","gerund","","gerund","TRUE","Gerund.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"article","art","art","artículo","artículo","art","artículo","TRUE","artigo","artigo","","artigo","TRUE","article","article","art. ","article","TRUE","מאמר","תווית","","תווית","TRUE","مقالة - سلعة","أداة تعريف","","أداة تعريف","FALSE","लेख","उपपद","","उपपद","TRUE","প্রবন্ধ","নির্দেশক","নি.","নির্দেশক","TRUE","ପ୍ରବନ୍ଧ","","","ପ୍ରବନ୍ଧ","FALSE","","","FALSE","artikel","artikel","","artikel","TRUE","статья","артикль","","артикль","TRUE","文章","","","文章","FALSE","labarin","","","labarin","FALSE","makala","Kibainishio","kb","Kibainishio","TRUE","ጽሑፍ","ዕምርነት ማመልከቻ","","ዕምርነት ማመልከቻ","TRUE","บทความ","","","บทความ","FALSE","artikel","kata sandang","","kata sandang","TRUE","Artikulo.","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"postposition","post","post","posposición","postposición","post","postposición","TRUE","posposição","posposição","","posposição","TRUE","postposition","postposition","post.","postposition","TRUE","postposition","מילת יחס (סופית, postposition)","","מילת יחס (סופית, postposition)","TRUE","postposition","لاحقة","","لاحقة","FALSE","परसर्ग","परसर्ग","","परसर्ग","TRUE","postposition","পরসর্গ","প.স.","পরসর্গ","TRUE","postposition","","","postposition","FALSE","","","FALSE","kata belakang","posposisi","","posposisi","TRUE","постпозиция","послелог","","послелог","TRUE","后置","","","后置","FALSE","postposition","","","postposition","FALSE","postposition","Vihusishi tamati","vh.tm","Vihusishi tamati","TRUE","postposition","መስተዋድድ","","መስተዋድድ","TRUE","การโพสปลายทาง","","","การโพสปลายทาง","FALSE","postposition.","kata sendi nama belakang","","kata sendi nama belakang","TRUE","postposisyon","","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
