"en","vernacularName","vernacularAlternate","key","internalName","showKeyboard","useKeyboard","notes","Spanish","write-in","es","✓","Portuguese","write-in","pt","✓","French","write-in","fr","✓","Hebrew","write-in","he","✓","Arabic","write-in","ar","✓","Hindi","write-in","hi","✓","Bengali","write-in","bn","✓","Oriya","write-in","or","✓","as","✓","Indonesian","write-in","id","✓","Russian","write-in","ru","✓","Mandarin Chinese (simplified)","write-in","zh","✓","Hausa","write-in","ha","✓","Swahili","write-in","sw","✓","Amharic","write-in","am","✓","Thai","write-in","th","✓","Malay","write-in","ms","✓","Filipino","write-in","fil","✓","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Newar","नेपाल भाषा","","new","","","","","Newar","","Newar","FALSE","Newar","Newari","Newari","TRUE","Newar","","Newar","FALSE","Newar","","Newar","FALSE","نوار","","نوار","FALSE","Newar","","Newar","FALSE","Newar","নেওয়ার","নেওয়ার","TRUE","Newar","","Newar","FALSE","","FALSE","Newar","Bahasa Newar","Bahasa Newar","TRUE","неваров","неварский","неварский","TRUE","尼瓦尔","","尼瓦尔","FALSE","Newar","","Newar","FALSE","Newar","Newar","Newar","TRUE","Newar","","Newar","FALSE","ใหม่","","ใหม่","FALSE","Baru","Bahasa Newar","Bahasa Newar","TRUE","Newar.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ngaju Dayak","Dayak Ngaju","","nij","","","","","Ngaju Dayak","","Ngaju Dayak","FALSE","Ngaju Dayak","Ngaju Dayak","Ngaju Dayak","TRUE","Ngaju Dayak","","Ngaju Dayak","FALSE","Ngaju דיאק","","Ngaju דיאק","FALSE","Ngaju داياك","","Ngaju داياك","FALSE","Ngaju दयाक","","Ngaju दयाक","FALSE","Ngaju, দায়াক","নাগাজু দায়াক","নাগাজু দায়াক","TRUE","Ngaju Dayak","","Ngaju Dayak","FALSE","","FALSE","Dayak Ngaju","Bahasa Dayak Ngaju","Bahasa Dayak Ngaju","TRUE","Ngaju Dayak","нгаджу","нгаджу","TRUE","Ngaju达雅","","Ngaju达雅","FALSE","Ngaju Dayak","","Ngaju Dayak","FALSE","Ngaju Dayak","Ngaju Dayak","Ngaju Dayak","TRUE","Ngaju የዴያክ","","Ngaju የዴያክ","FALSE","Ngaju Dayak","","Ngaju Dayak","FALSE","Ngaju Dayak.","Bahasa Ngaju","Bahasa Ngaju","TRUE","Ngaju Dayak.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ngambay","","","sba","","","","","Ngambay","","Ngambay","FALSE","Ngambay","Ngambay","Ngambay","TRUE","ngambay","","ngambay","FALSE","Ngambay","","Ngambay","FALSE","Ngambay","","Ngambay","FALSE","Ngambay","","Ngambay","FALSE","Ngambay,","নাম্বে ","নাম্বে ","TRUE","Ngambay","","Ngambay","FALSE","","FALSE","Ngambay","Bahasa Ngambay","Bahasa Ngambay","TRUE","Ngambay","нгамбай","нгамбай","TRUE","Ngambay","","Ngambay","FALSE","Ngambay","","Ngambay","FALSE","Ngambay","Ngambay","Ngambay","TRUE","Ngambay","","Ngambay","FALSE","นากัมเบย์","","นากัมเบย์","FALSE","Ngambay.","Bahasa Ngambay","Bahasa Ngambay","TRUE","Ngambay.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nheengatu","","","yrl","","","","","Nheengatu","","Nheengatu","FALSE","Nheengatu","Nheengatu","Nheengatu","TRUE","Nheengatu","","Nheengatu","FALSE","Nheengatu","","Nheengatu","FALSE","Nheengatu","","Nheengatu","FALSE","Nheengatu","","Nheengatu","FALSE","Nheengatu","ইঙ্গাটু ","ইঙ্গাটু ","TRUE","Nheengatu","","Nheengatu","FALSE","","FALSE","Nheengatu","Bahasa Nheengatu","Bahasa Nheengatu","TRUE","Nheengatu","ньенгату","ньенгату","TRUE","Nheengatu","","Nheengatu","FALSE","Nheengatu","","Nheengatu","FALSE","Nheengatu","Nheengatu","Nheengatu","TRUE","Nheengatu","","Nheengatu","FALSE","nheengatu","","nheengatu","FALSE","Nheengatu.","Bahasa Nheengatu","Bahasa Nheengatu","TRUE","Nheengatu.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nias","","","nia","","","","","Nias","","Nias","FALSE","Nias","Nias","Nias","TRUE","Nias","","Nias","FALSE","Nias","","Nias","FALSE","نياس","","نياس","FALSE","नियास","","नियास","FALSE","নিয়াস","নিয়াজ ","নিয়াজ ","TRUE","Nias","","Nias","FALSE","","FALSE","Nias","Bahasa Nias","Bahasa Nias","TRUE","Nias","ниасский","ниасский","TRUE","尼亚斯","","尼亚斯","FALSE","Nias","","Nias","FALSE","Nias","Nias","Nias","TRUE","Nias","","Nias","FALSE","nias","","nias","FALSE","Nias","Bahasa Nias","Bahasa Nias","TRUE","Nias.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"North Maluku (Ternate) Malay","","","max","","","","","Maluku del Norte (Ternate) Malay","","Maluku del Norte (Ternate) Malay","FALSE","North Maluku (Ternate) Malay","Maluku Malay do Norte","Maluku Malay do Norte","TRUE","North Maluku (Ternate) Malay","","North Maluku (Ternate) Malay","FALSE","מאלוקו צפון (טרנאטה) מלאית","","מאלוקו צפון (טרנאטה) מלאית","FALSE","مالوكو الشمالية (تيرنيت) الملايو","","مالوكو الشمالية (تيرنيت) الملايو","FALSE","उत्तर मालुकु (तेरनाते) मलय","","उत्तर मालुकु (तेरनाते) मलय","FALSE","উত্তর মালুকু (Ternate,) মালে","উত্তর মালুকু (তারনেট) মালয়","উত্তর মালুকু (তারনেট) মালয়","TRUE","ଉତ୍ତର Maluku (Ternate) ମଳୟ","","ଉତ୍ତର Maluku (Ternate) ମଳୟ","FALSE","","FALSE","Maluku Utara (Ternate) Malay","Bahasa Maluku Utara (Ternate) Malay","Bahasa Maluku Utara (Ternate) Malay","TRUE","Северное Малуку (Ternate) Малайский","северный малуку","северный малуку","TRUE","北马鲁古（特尔纳特）马来","","北马鲁古（特尔纳特）马来","FALSE","Arewa Maluku (Ternate) Malay","","Arewa Maluku (Ternate) Malay","FALSE","North Maluku (Ternate) Malay","Maluku Kaskazini (Ternate) Malay","Maluku Kaskazini (Ternate) Malay","TRUE","በሰሜን የማላኩ (Ternate) ማላይ","","በሰሜን የማላኩ (Ternate) ማላይ","FALSE","มลายู North Maluku (Ternate)","","มลายู North Maluku (Ternate)","FALSE","Maluku Utara (Ternate) Melayu","Bahasa Melayu Maluku Utara (Ternate)","Bahasa Melayu Maluku Utara (Ternate)","TRUE","North Maluku (Ternate) Malay.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Ndebele","Sindebele/isiNdebele","","nde","","","","","Ndebele del Norte","","Ndebele del Norte","FALSE","Northern Ndebele","Ndebele do Norte","Ndebele do Norte","TRUE","Ndebele du Nord","","Ndebele du Nord","FALSE","צפון נדבלה","","צפון נדבלה","FALSE","الشمالية نديبيلي","","الشمالية نديبيلي","FALSE","उत्तरी नेबेले","","उत्तरी नेबेले","FALSE","উত্তরাঞ্চলীয় এন্দেবিলি","উত্তর এন্ড্যেবেলা","উত্তর এন্ড্যেবেলা","TRUE","ଉତ୍ତର Ndebele","","ଉତ୍ତର Ndebele","FALSE","","FALSE","Northern Ndebele","Bahasa Ndebele Utara","Bahasa Ndebele Utara","TRUE","Северный ндебеле","северный ндебеле","северный ндебеле","TRUE","北恩德贝勒","","北恩德贝勒","FALSE","Northern Ndebele","","Northern Ndebele","FALSE","Ndebele Kaskazini","Ndebele ya Kaskazini","Ndebele ya Kaskazini","TRUE","ኖርዘርን ንደቤሌኛ","","ኖርዘርን ንደቤሌኛ","FALSE","Northern Ndebele","","Northern Ndebele","FALSE","Northern Ndebele.","Bahasa Ndebele Utara","Bahasa Ndebele Utara","TRUE","Northern Ndebele.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Sámi","davvisámegiella","","sme","","","","","sami septentrional","","sami septentrional","FALSE","Sami do norte","Sami do Norte","Sami do Norte","TRUE","Les Samis du Nord","","Les Samis du Nord","FALSE","סמי צפון","","סמי צפון","FALSE","سامي الشمالية","","سامي الشمالية","FALSE","उत्तरी सामी","","उत्तरी सामी","FALSE","উত্তরাঞ্চলীয় সামি","উত্তর সামি ","উত্তর সামি ","TRUE","ଉତ୍ତର ସାମି","","ଉତ୍ତର ସାମି","FALSE","","FALSE","Northern Sámi","Bahasa Sami Utara","Bahasa Sami Utara","TRUE","Северный Sámi","северный сами","северный сами","TRUE","北萨米","","北萨米","FALSE","Northern Sami","","Northern Sami","FALSE","Northern Sámi","Sami ya Kaskazini","Sami ya Kaskazini","TRUE","ኖርዘርን ለሴሚ","","ኖርዘርን ለሴሚ","FALSE","Sámiตอนเหนือ","","Sámiตอนเหนือ","FALSE","Sámi utara.","Bahasa Sámi Utara","Bahasa Sámi Utara","TRUE","Northern Sámi.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Sotho","Sesotho sa leboa/Sepedi","","nso","","","","","sotho del norte","","sotho del norte","FALSE","Northern Sotho","Sotho do Norte","Sotho do Norte","TRUE","sotho du Nord","","sotho du Nord","FALSE","סוטו הצפוני","","סוטו הצפוני","FALSE","السوتو الشمالية","","السوتو الشمالية","FALSE","उत्तरी सोथो","","उत्तरी सोथो","FALSE","উত্তরাঞ্চলীয় সোথো","উত্তর সোথো","উত্তর সোথো","TRUE","ଉତ୍ତର Sotho","","ଉତ୍ତର Sotho","FALSE","","FALSE","Sotho utara","Bahasa Soto Utara","Bahasa Soto Utara","TRUE","Северный сото","северный сото","северный сото","TRUE","北索托","","北索托","FALSE","Northern Sotho","","Northern Sotho","FALSE","Kisotho cha Kaskazini","Kisotho cha Kaskazini","Kisotho cha Kaskazini","TRUE","ሰሜናዊ ሶቶኛ","","ሰሜናዊ ሶቶኛ","FALSE","Sotho ตอนเหนือ","","Sotho ตอนเหนือ","FALSE","Sotho Utara.","Bahasa Sotho Utara","Bahasa Sotho Utara","TRUE","Northern Sotho.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Thai","Kam Mu'ang/คำเมือง","","nod","","","","","norte de Tailandia","","norte de Tailandia","FALSE","Northern Thai","Thai do Norte","Thai do Norte","TRUE","nord de la Thaïlande","","nord de la Thaïlande","FALSE","צפון תאילנדי","","צפון תאילנדי","FALSE","الشمالية التايلاندية","","الشمالية التايلاندية","FALSE","उत्तरी थाई","","उत्तरी थाई","FALSE","উত্তরাঞ্চলীয় থাই","উত্তর থাই","উত্তর থাই","TRUE","ଉତ୍ତର ଥାଇ","","ଉତ୍ତର ଥାଇ","FALSE","","FALSE","Northern Thailand","Bahasa Thailand Utara","Bahasa Thailand Utara","TRUE","Северный тайский","северный тайский","северный тайский","TRUE","泰国北部","","泰国北部","FALSE","Northern Thai","","Northern Thai","FALSE","Northern Thai","Thai ya Kaskazini","Thai ya Kaskazini","TRUE","ኖርዘርን ታይ","","ኖርዘርን ታይ","FALSE","ไทยตอนเหนือ","","ไทยตอนเหนือ","FALSE","Northern Thailand.","Bahasa Thai Utara","Bahasa Thai Utara","TRUE","Northern Thai.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Norwegian","norsk","","no","","","","","noruego","","noruego","FALSE","norueguês","Norueguês","Norueguês","TRUE","norvégien","","norvégien","FALSE","נורבגי","","נורבגי","FALSE","النرويجية","","النرويجية","FALSE","नार्वेजियन","","नार्वेजियन","FALSE","নরওয়েজীয়","নরওয়েজীয়","নরওয়েজীয়","TRUE","ନୋରୱେଜିଆନ୍","","ନୋରୱେଜିଆନ୍","FALSE","","FALSE","Norwegia","Bahasa Norwergia","Bahasa Norwergia","TRUE","норвежский язык","норвежский","норвежский","TRUE","挪威","","挪威","FALSE","Yaren mutanen Norway","","Yaren mutanen Norway","FALSE","Norway","Kinorwei ","Kinorwei ","TRUE","ኖርወይኛ","ኖርወይኛ","ኖርወይኛ","TRUE","นอร์เวย์","","นอร์เวย์","FALSE","Norway.","Bahasa Norway","Bahasa Norway","TRUE","Norwegian","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nuer","Thok Naath","","nus","","","","","nuer","","nuer","FALSE","Nuer","Nuer","Nuer","TRUE","Nuer","","Nuer","FALSE","Nuer","","Nuer","FALSE","النوير","","النوير","FALSE","Nuer","","Nuer","FALSE","Nuer,","নিউয়ার ","নিউয়ার ","TRUE","Nuer","","Nuer","FALSE","","FALSE","Nuer","Bahasa Nuer","Bahasa Nuer","TRUE","нуэров","нуэр","нуэр","TRUE","努尔","","努尔","FALSE","Nuer","","Nuer","FALSE","Nuer","Nuer","Nuer","TRUE","ኑዌር","","ኑዌር","FALSE","ผู้ทำลาย","","ผู้ทำลาย","FALSE","Nuer.","Bahasa Nuer","Bahasa Nuer","TRUE","Nuer.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nzema","Nzema","","nzi","","","","","Nzema","","Nzema","FALSE","Nzema","Nzema","Nzema","TRUE","Nzema","","Nzema","FALSE","Nzema","","Nzema","FALSE","نزيما","","نزيما","FALSE","Nzema","","Nzema","FALSE","Nzema","এঞ্জেমা","এঞ্জেমা","TRUE","Nzema","","Nzema","FALSE","","FALSE","Nzema","Bahasa Nzema","Bahasa Nzema","TRUE","Nzema","нзема","нзема","TRUE","Nzema","","Nzema","FALSE","Nzema","","Nzema","FALSE","Nzema","Nzema","Nzema","TRUE","Nzema","","Nzema","FALSE","nzema","","nzema","FALSE","Nzema","Bahasa Nzema","Bahasa Nzema","TRUE","Nzema.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Occitan","lenga d'òc","","oci","","","","","occitano","","occitano","FALSE","Occitan","Occitano","Occitano","TRUE","occitan","","occitan","FALSE","אוקסיטנית","","אוקסיטנית","FALSE","الأوكيتانية","","الأوكيتانية","FALSE","ओसीटान","","ओसीटान","FALSE","অক্সিটান","অক্সিটান","অক্সিটান","TRUE","ଓସିଟାନ୍","","ଓସିଟାନ୍","FALSE","","FALSE","Occitan","Bahasa Occitan","Bahasa Occitan","TRUE","Occitan","окситанский","окситанский","TRUE","奥克","","奥克","FALSE","Occitan","","Occitan","FALSE","Kiokitani","Kiokitani","Kiokitani","TRUE","ኦኪታንኛ","","ኦኪታንኛ","FALSE","อวัยวะสืบทธ","","อวัยวะสืบทธ","FALSE","Occitan","Bahasa Occitan","Bahasa Occitan","TRUE","Occitan.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oriya","ଓଡ଼ିଆ","Oṛiā, Odia","or","Keyboard_isis_oriya","true","","","Oriya","oriya","oriya","TRUE","Oriya","Oriya","Oriya","TRUE","Oriya","Odia","Odia","TRUE","אוריה","אורייה (אודיה)","אורייה (אודיה)","TRUE","الأوريا","الأوريا","الأوريا","FALSE","ओरिया","","ओरिया","FALSE","ওড়িয়া","ওড়িয়া","ওড়িয়া","TRUE","ଓଡ଼ିଆ","","ଓଡ଼ିଆ","FALSE","","FALSE","Oriya","Bahasa Oriya","Bahasa Oriya","TRUE","Ория","ория","ория","TRUE","奥里亚语","","奥里亚语","FALSE","Oriya","","Oriya","FALSE","Kioriya","Kioriya","Kioriya","TRUE","ኦሪያ","","ኦሪያ","FALSE","โอริยา","","โอริยา","FALSE","Oriya","Bahasa Oriya","Bahasa Oriya","TRUE","Oriya","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Oromo","Afaan Oromoo","","om","","","","","Oromo","","Oromo","FALSE","Oromo","Oromo","Oromo","TRUE","Oromo","","Oromo","FALSE","אורומו","","אורומו","FALSE","أورومو","","أورومو","FALSE","ओरोमो","","ओरोमो","FALSE","অরোমো","অরোমো","অরোমো","TRUE","ଓରୋମୋ","","ଓରୋମୋ","FALSE","","FALSE","Oromo","Bahasa Oromo ","Bahasa Oromo ","TRUE","ор","оромо","оромо","TRUE","奥罗莫","","奥罗莫","FALSE","Harshen Oromo","","Harshen Oromo","FALSE","Oromo","Oromo","Oromo","TRUE","ኦሮሞ","","ኦሮሞ","FALSE","Oomo","","Oomo","FALSE","Oromo.","Bahasa Oromo","Bahasa Oromo","TRUE","Oromo.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Palauan","a tekoi er a Belau","","pau","","","","","palauan","","palauan","FALSE","Palauan","Palauano","Palauano","TRUE","palauan","","palauan","FALSE","פאלאאאן","","פאלאאאן","FALSE","البالاوية","","البالاوية","FALSE","पलाउअन","","पलाउअन","FALSE","পালায়ুয়ান","পলোন","পলোন","TRUE","Palauan","","Palauan","FALSE","","FALSE","Palauan","Bahasa Palau","Bahasa Palau","TRUE","Palauan","палауский","палауский","TRUE","帕劳","","帕劳","FALSE","Palauan","","Palauan","FALSE","Palauan","Palauan","Palauan","TRUE","የፓላውን","","የፓላውን","FALSE","ชาวปาเลาซาน","","ชาวปาเลาซาน","FALSE","Palauan.","Bahasa Palau","Bahasa Palau","TRUE","Palauan.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pangasinan","Salitan Pangasinan","","pag","","","","","pangasinan","","pangasinan","FALSE","Pangasinan","Pangasiano","Pangasiano","TRUE","Pangasinan","","Pangasinan","FALSE","Pangasinan","","Pangasinan","FALSE","بانجاسينان","","بانجاسينان","FALSE","Pangasinan","","Pangasinan","FALSE","পাঙ্গাসিনান","পাঙ্গাসিনান","পাঙ্গাসিনান","TRUE","Pangasinan","","Pangasinan","FALSE","","FALSE","Pangasinan","Bahasa Pangasinan","Bahasa Pangasinan","TRUE","пангасинан","пангасинан","пангасинан","TRUE","邦阿西楠","","邦阿西楠","FALSE","Pangasinan","","Pangasinan","FALSE","Kipangasinani","Pangasinan","Pangasinan","TRUE","Pangasinan","","Pangasinan","FALSE","Pangasinan","","Pangasinan","FALSE","Pangasinan.","Bahasa Pangasinan","Bahasa Pangasinan","TRUE","Pangasinan.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Papiamento","","Papiamentu","pap","","","","","papiamento","","papiamento","FALSE","papiamento","Papiamento","Papiamento","TRUE","papiamento","","papiamento","FALSE","פאפיאמנטו","","פאפיאמנטו","FALSE","البابيامينتو","","البابيامينتو","FALSE","पापियामेन्टो","","पापियामेन्टो","FALSE","পাপিয়ামেন্টো","পপামেন্টো","পপামেন্টো","TRUE","Papiamento","","Papiamento","FALSE","","FALSE","Papiamento","Bahasa Papiamento","Bahasa Papiamento","TRUE","Papiamento","папьяменто","папьяменто","TRUE","帕皮阿门托","","帕皮阿门托","FALSE","Papiamento","","Papiamento","FALSE","Papiamento","Papiamento","Papiamento","TRUE","ፓፒያሜንቶ","","ፓፒያሜንቶ","FALSE","Papiamento","","Papiamento","FALSE","Papiamento.","Bahasa Papiamento","Bahasa Papiamento","TRUE","Papiamento.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Papuan Malay","","","pmy","","","","","malayo de Papua","","malayo de Papua","FALSE","Papua Malay","Papuan Malay","Papuan Malay","TRUE","papou malais","","papou malais","FALSE","Papuan מלאית","","Papuan מלאית","FALSE","بابوا الملايو","","بابوا الملايو","FALSE","Papuan मलय","","Papuan मलय","FALSE","পাপুয়ান মালে","পাপুয়ান মালয়","পাপুয়ান মালয়","TRUE","Papuan ମଳୟ","","Papuan ମଳୟ","FALSE","","FALSE","Papua Melayu","Bahasa Melayu Papua ","Bahasa Melayu Papua ","TRUE","папуас Малайский","папуасско-малайский","папуасско-малайский","TRUE","巴布亚马来","","巴布亚马来","FALSE","Papuan Malay","","Papuan Malay","FALSE","Papuan Malay","Papuan Malay","Papuan Malay","TRUE","የፓፓውያን ማላይኛ","","የፓፓውያን ማላይኛ","FALSE","ปัสสาวะมลายู","","ปัสสาวะมลายู","FALSE","Papua Malay","Bahasa Melayu Papua","Bahasa Melayu Papua","TRUE","Papuan Malay.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pashto","پښتو","","ps","","","","","Pashto","","Pashto","FALSE","pashto","pachto","pachto","TRUE","pashto","","pashto","FALSE","פאשטו","","פאשטו","FALSE","الباشتو","","الباشتو","FALSE","पश्तो","","पश्तो","FALSE","পুশতু","প্যাশতু","প্যাশতু","TRUE","Pashto","","Pashto","FALSE","","FALSE","Pashto","Bahasa Pashto","Bahasa Pashto","TRUE","пушту","","пушту","TRUE","普什图语","","普什图语","FALSE","Pashto","","Pashto","FALSE","Pashto","Kipashto","Kipashto","TRUE","ፓሽቶ","","ፓሽቶ","FALSE","คนปุยโต","","คนปุยโต","FALSE","Pashto.","Bahasa Pashto","Bahasa Pashto","TRUE","Pashto.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Persian","فارسی","Farsi","fa","Keyboard_dari_clra","true","","","persa","persa","persa","TRUE","persa","Persa","Persa","TRUE","persan","Persan","Persan","TRUE","פַּרסִית","פרסית","פרסית","TRUE","اللغة الفارسية","الفارسية","الفارسية","FALSE","फ़ारसी","","फ़ारसी","FALSE","পারসিক","পারসিক","পারসিক","TRUE","Persian","","Persian","FALSE","","FALSE","Orang Persia","Bahasa Persia","Bahasa Persia","TRUE","персидский","","персидский","TRUE","波斯语","","波斯语","FALSE","Persian","","Persian","FALSE","Persian","Kipersian","Kipersian","TRUE","ፐርሽያን","","ፐርሽያን","FALSE","ชาวเปอร์เซีย","","ชาวเปอร์เซีย","FALSE","Persia.","Bahasa Parsi","Bahasa Parsi","TRUE","Persyano","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pijin","Pijin/Pisin","","pis","","","","","Pijin","","Pijin","FALSE","Pijin","Pijin","Pijin","TRUE","pidgin","","pidgin","FALSE","Pijin","","Pijin","FALSE","Pijin","","Pijin","FALSE","Pijin","","Pijin","FALSE","Pijin,","পিজিন","পিজিন","TRUE","Pijin","","Pijin","FALSE","","FALSE","Pijin","Bahasa Pijin","Bahasa Pijin","TRUE","Pijin","пиджин","пиджин","TRUE","皮筋","","皮筋","FALSE","Pijin","","Pijin","FALSE","Pijin","Kipijin","Kipijin","TRUE","Pijin","","Pijin","FALSE","Pijin","","Pijin","FALSE","Pijin.","Bahasa Pijin","Bahasa Pijin","TRUE","Pijin.","","","FALSE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
